file,pooling,split,seed,balanced,module,key,rows,cols,min_dim,effective_rank,rank_fraction,stable_rank,sigma_max
attention_species_s2.pt,attention,species,2,0,head,heads.cell_shape.weight,7,256,7,5.5849,0.7978,2.6648,2.0194
attention_species_s2.pt,attention,species,2,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.148
attention_species_s2.pt,attention,species,2,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.4002
attention_species_s2.pt,attention,species,2,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.708
attention_species_s2.pt,attention,species,2,0,head,heads.oxygen_tolerance.weight,6,256,6,4.0189,0.6698,1.903,2.4825
attention_species_s2.pt,attention,species,2,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.154
attention_species_s2.pt,attention,species,2,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.3412
attention_species_s2.pt,attention,species,2,0,head,heads.halophily.weight,4,256,4,3.4757,0.8689,2.0638,1.2428
attention_species_s2.pt,attention,species,2,0,head,heads.temperature_class.weight,5,256,5,4.1033,0.8207,2.2807,1.9983
attention_species_s2.pt,attention,species,2,0,head,heads.ph_class.weight,3,256,3,2.4664,0.8221,1.5623,1.0688
attention_species_s2.pt,attention,species,2,0,head,heads.cultivation_medium.weight,200,256,200,9.2527,0.0463,1.7218,23.8535
attention_species_s2.pt,attention,species,2,0,head,heads.carbon_utilization.weight,80,256,80,34.5158,0.4314,6.2831,3.3748
attention_species_s2.pt,attention,species,2,0,head,heads.metabolite_production.weight,50,256,50,22.2639,0.4453,3.3538,3.5785
attention_species_s2.pt,attention,species,2,0,head,heads.amr_phenotype.weight,30,256,30,18.4518,0.6151,4.5265,2.757
attention_species_s2.pt,attention,species,2,0,head,heads.biosafety_level.weight,4,256,4,2.9494,0.7373,1.7275,2.3047
attention_species_s2.pt,attention,species,2,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.2957
attention_species_s2.pt,attention,species,2,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.3165
attention_species_s2.pt,attention,species,2,0,head,heads.isolation_source.weight,20,256,20,9.4822,0.4741,2.4999,4.4238
attention_species_s2.pt,attention,species,2,0,head,heads.country.weight,100,256,100,15.4881,0.1549,2.2248,12.6775
attention_species_s2.pt,attention,species,2,0,head,heads.fatty_acid_profile.weight,30,256,30,24.9292,0.831,12.4531,0.4701
mean_family_s0.pt,mean,family,0,0,encoder,encoder.0.weight,512,640,512,21.1327,0.0413,5.5871,18.1502
mean_family_s0.pt,mean,family,0,0,encoder,encoder.3.weight,256,512,256,43.3,0.1691,7.4902,7.0068
mean_family_s0.pt,mean,family,0,0,head,heads.gram_stain.weight,3,256,3,2.2666,0.7555,1.4608,1.8092
mean_family_s0.pt,mean,family,0,0,head,heads.cell_shape.weight,7,256,7,5.8113,0.8302,3.0614,2.1203
mean_family_s0.pt,mean,family,0,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.3388
mean_family_s0.pt,mean,family,0,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.9023
mean_family_s0.pt,mean,family,0,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7782
mean_family_s0.pt,mean,family,0,0,head,heads.oxygen_tolerance.weight,6,256,6,3.8961,0.6494,1.883,3.0778
mean_family_s0.pt,mean,family,0,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.3431
mean_family_s0.pt,mean,family,0,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.6034
mean_family_s0.pt,mean,family,0,0,head,heads.halophily.weight,4,256,4,3.0468,0.7617,1.6929,1.4039
mean_family_s0.pt,mean,family,0,0,head,heads.temperature_class.weight,5,256,5,3.5821,0.7164,1.9719,2.6828
mean_family_s0.pt,mean,family,0,0,head,heads.ph_class.weight,3,256,3,2.3812,0.7937,1.5144,1.0879
mean_family_s0.pt,mean,family,0,0,head,heads.cultivation_medium.weight,200,256,200,7.2147,0.0361,1.5866,27.6442
mean_family_s0.pt,mean,family,0,0,head,heads.carbon_utilization.weight,80,256,80,28.0679,0.3508,4.3614,4.5028
mean_family_s0.pt,mean,family,0,0,head,heads.metabolite_production.weight,50,256,50,14.9478,0.299,2.4957,4.886
mean_family_s0.pt,mean,family,0,0,head,heads.amr_phenotype.weight,30,256,30,16.7912,0.5597,4.37,2.9507
mean_family_s0.pt,mean,family,0,0,head,heads.biosafety_level.weight,4,256,4,2.7165,0.6791,1.5979,2.7107
mean_family_s0.pt,mean,family,0,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.3819
mean_family_s0.pt,mean,family,0,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.5441
mean_family_s0.pt,mean,family,0,0,head,heads.isolation_source.weight,20,256,20,8.8496,0.4425,2.667,5.1803
mean_family_s0.pt,mean,family,0,0,head,heads.country.weight,100,256,100,15.0902,0.1509,2.2434,13.2291
mean_family_s0.pt,mean,family,0,0,head,heads.fatty_acid_profile.weight,30,256,30,24.5877,0.8196,11.6056,0.519
mean_family_s0_balancedfamilies.pt,mean,family,0,1,encoder,encoder.0.weight,512,640,512,22.8696,0.0447,5.0493,21.3937
mean_family_s0_balancedfamilies.pt,mean,family,0,1,encoder,encoder.3.weight,256,512,256,38.2934,0.1496,8.5223,8.3417
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.gram_stain.weight,3,256,3,2.3889,0.7963,1.6613,1.9316
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.cell_shape.weight,7,256,7,5.6107,0.8015,2.9811,2.5559
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.4409
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,2.633
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,1.5678
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.oxygen_tolerance.weight,6,256,6,4.4708,0.7451,2.168,2.8135
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.8546
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.6598
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.halophily.weight,4,256,4,3.2841,0.821,2.161,1.8073
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.temperature_class.weight,5,256,5,3.9319,0.7864,2.2286,2.5646
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.ph_class.weight,3,256,3,2.3202,0.7734,1.5408,1.7369
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.cultivation_medium.weight,200,256,200,9.3459,0.0467,1.7466,26.9146
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.carbon_utilization.weight,80,256,80,32.4944,0.4062,7.1263,4.6491
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.metabolite_production.weight,50,256,50,18.0025,0.3601,2.8249,4.1903
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.amr_phenotype.weight,30,256,30,17.1905,0.573,4.8945,3.5382
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.biosafety_level.weight,4,256,4,2.7229,0.6807,1.5854,2.6753
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.7296
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.7596
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.isolation_source.weight,20,256,20,9.8143,0.4907,2.5197,4.8407
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.country.weight,100,256,100,19.5571,0.1956,2.4909,13.3812
mean_family_s0_balancedfamilies.pt,mean,family,0,1,head,heads.fatty_acid_profile.weight,30,256,30,23.5083,0.7836,10.9631,0.598
mean_family_s1.pt,mean,family,1,0,encoder,encoder.0.weight,512,640,512,19.8328,0.0387,5.692,18.7259
mean_family_s1.pt,mean,family,1,0,encoder,encoder.3.weight,256,512,256,41.7953,0.1633,7.4192,7.1552
mean_family_s1.pt,mean,family,1,0,head,heads.gram_stain.weight,3,256,3,2.2832,0.7611,1.5068,1.8409
mean_family_s1.pt,mean,family,1,0,head,heads.cell_shape.weight,7,256,7,5.7235,0.8176,2.9132,2.1735
mean_family_s1.pt,mean,family,1,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.3121
mean_family_s1.pt,mean,family,1,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.7949
