target,group,model,rank,status,n_train,n_test,train_pos_rate,test_pos_rate,acc,macro_f1,precision,recall,auroc,auprc
catalase,binary_trait,logistic_l2,10,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7961165048543689,0.7021297524563257,0.9123951537744641,0.8303647158608991,0.7958474830445341,0.9310071091090082
catalase,binary_trait,logistic_l2,25,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7857142857142857,0.6999319156616202,0.9206963249516441,0.8074639525021204,0.8050322984290998,0.9326150857469033
catalase,binary_trait,sgd_logistic,6,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7018030513176144,0.592828699909643,0.8711595639246779,0.7455470737913485,0.7058698323319691,0.9113738411454688
catalase,binary_trait,sgd_logistic,10,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8328710124826629,0.7296564793155569,0.9064124783362218,0.8871925360474979,0.794238205348994,0.9254271628520001
catalase,binary_trait,sgd_logistic,25,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.6990291262135923,0.5983338467857876,0.8781725888324873,0.7336726039016115,0.7141548712094092,0.9073999082533992
catalase,binary_trait,regularized_rf,6,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8300970873786407,0.700287504782556,0.8853135313531353,0.9100932994062765,0.760385323645417,0.9046467371786624
catalase,binary_trait,regularized_rf,10,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8599167822468793,0.7484081384461774,0.8994276369582993,0.9329940627650551,0.7814317088981123,0.9134444196567442
catalase,binary_trait,regularized_rf,25,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8592233009708737,0.730294696205389,0.8873015873015873,0.9482612383375743,0.7924064022807238,0.9216184533608913
catalase,binary_trait,hist_gd,6,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.789875173370319,0.6890921161896589,0.9040590405904059,0.8312128922815946,0.7718856929085356,0.9236108564424045
catalase,binary_trait,hist_gd,10,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8141470180305131,0.7100568098266296,0.904170363797693,0.8642917726887193,0.7839536631223858,0.9234806553009904
catalase,binary_trait,hist_gd,25,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8252427184466019,0.7215371458522994,0.905511811023622,0.8778625954198473,0.8015331675680556,0.9349389344440544
catalase,binary_trait,poly2_logistic,6,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7212205270457698,0.6346283783783784,0.9025906735751296,0.7387616624257846,0.7361107079854359,0.904204376572933
catalase,binary_trait,poly2_logistic,10,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7787794729542302,0.684931797711636,0.9095238095238095,0.8100084817642069,0.7752332485156913,0.9189620811319971
catalase,binary_trait,poly2_logistic,25,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.7552011095700416,0.6550461326818624,0.8971153846153846,0.7913486005089059,0.7701151649429013,0.9261162205461693
catalase,binary_trait,soft_vote_ensemble,fixed,ok,4712,1442,0.8317062818336163,0.8176144244105409,0.8169209431345353,0.7194354039903779,0.9110512129380054,0.8600508905852418,0.8048065480509681,0.93354149837381
