trait,curve,k_families,seed,n_train,f1,auroc
pathogenicity_animal,size_controlled,80,4,32,0.5007671351689085,0.8190028901734103
pathogenicity_animal,size_controlled,198,0,32,0.4524965916837082,0.37265675176621704
pathogenicity_animal,size_controlled,198,1,32,0.46359611075476337,0.43817738439306353
pathogenicity_animal,size_controlled,198,2,32,0.5390818419749593,0.7467736432241491
pathogenicity_animal,size_controlled,198,3,32,0.5346659752372372,0.5810101557482338
pathogenicity_animal,size_controlled,198,4,32,0.5510714548454562,0.5276423008991651
motility,size_controlled,5,0,15,0.4589297244587347,0.4391990257502372
motility,size_controlled,5,1,15,0.4491973661559649,0.46641434669320714
motility,size_controlled,5,2,15,0.614656136413272,0.6052093926084363
motility,size_controlled,5,3,15,0.489523942387317,0.5870163910104441
motility,size_controlled,5,4,15,0.4308116357462325,0.450899604674668
motility,size_controlled,10,0,15,0.47642613633992764,0.5849207649344267
motility,size_controlled,10,1,15,0.2989440160911834,0.37612160813028733
motility,size_controlled,10,2,15,0.4950985476431253,0.5599896145964374
motility,size_controlled,10,3,15,0.39188805815774697,0.5529099220785644
motility,size_controlled,10,4,15,0.43643476371358314,0.42509373135804607
motility,size_controlled,20,0,15,0.481374321880651,0.5401352575178267
motility,size_controlled,20,1,15,0.5554986553204776,0.6351060640247765
motility,size_controlled,20,2,15,0.4988160455922782,0.5991991493859938
motility,size_controlled,20,3,15,0.4802778616732105,0.5133186618902053
motility,size_controlled,20,4,15,0.4112953024400432,0.5386732646948824
motility,size_controlled,40,0,15,0.513666969295143,0.6209049519211451
motility,size_controlled,40,1,15,0.4986936889066703,0.4905001375447793
motility,size_controlled,40,2,15,0.42466322771405285,0.39595741984539345
motility,size_controlled,40,3,15,0.620207150454877,0.6768084047587403
motility,size_controlled,40,4,15,0.44599834519398607,0.44785043782512346
motility,size_controlled,80,0,15,0.5068626032338108,0.6086943755003384
motility,size_controlled,80,1,15,0.5020191766787451,0.4606158297041087
motility,size_controlled,80,2,15,0.6297118002362887,0.6375138703864545
motility,size_controlled,80,3,15,0.4295222102471681,0.4098633515799104
motility,size_controlled,80,4,15,0.5693443932358879,0.6391087716478483
motility,size_controlled,175,0,15,0.529586894968604,0.612106722385181
motility,size_controlled,175,1,15,0.4260356394311299,0.48684824638133595
motility,size_controlled,175,2,15,0.4989604079892027,0.6056900266125966
motility,size_controlled,175,3,15,0.5401459478998658,0.5908769175133141
motility,size_controlled,175,4,15,0.6027552529008557,0.6605425755182656
